track_name,artist_name,frequency,song_ids,release_date,popularity,images,preview,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,label
(Love Is Like A) Heat Wave,Martha Reeves & The Vandellas,4,3VgrSJEKBRT3xmwzpaxxEF,1963,66,https://i.scdn.co/image/ab67616d0000b273d42d2f33bd2cafdc4f3d01be,https://p.scdn.co/mp3-preview/23d1f59ad6f9cab42fba739acce5e6b6eb77a178?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.513,0.514,0.624,0,0.00517,0.307,-9.287,0,0.0842,0.755,166.726,4,nina
...Ready For It?,Taylor Swift,11,2yLa0QULdQr0qAIvVwN6B5,2017-11-10,75,https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b,https://p.scdn.co/mp3-preview/dd68c7d18c81679d38686f850f84fb2995fea107?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.0527,0.613,0.764,2,0.0,0.197,-6.509,1,0.136,0.417,160.015,4,nina
18,One Direction,3,3JjnGLK8IxkNLvo8Lb3KOM,2014-11-17,77,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,https://p.scdn.co/mp3-preview/6f932f5ae91aa55dd00f15b111defdb7cc0e0b54?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.22,0.681,0.582,6,0.0,0.119,-7.76,0,0.0313,0.221,124.038,4,nina
22,Taylor Swift,3,3bIxTsfeNMO7Nt2J3EUKrA,2012-10-22,58,https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3,https://p.scdn.co/mp3-preview/3f261be9a76c09f313819d2dbe868315450c0e52?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00215,0.658,0.729,7,0.0013,0.0752,-6.561,1,0.0378,0.668,104.007,4,nina
3 Nights,Dominic Fike,3,1tNJrcVe6gwLEiZCtprs1u,2018-10-16,78,https://i.scdn.co/image/ab67616d0000b2734a42166d927b3acce345c5c0,https://p.scdn.co/mp3-preview/276fc7b476d9711c8361fd3c3ccfd2156438f8de?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.223,0.815,0.518,7,0.0,0.104,-6.594,0,0.0897,0.877,151.891,4,nina
3 outfits,Tai Verdes,27,78zWCikDMYzFpXAdqANPrD,2022-03-25,58,https://i.scdn.co/image/ab67616d0000b2733f6fb7eacf6ce52a5264fe7a,https://p.scdn.co/mp3-preview/e22da878443e19abe992648de37e5cbbf1ef759b?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.145,0.65,0.88,11,0.00223,0.351,-4.292,0,0.15,0.648,176.017,4,nina
505,Arctic Monkeys,11,58ge6dfP91o9oXMzq3XkIS,2007-04-24,83,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,https://p.scdn.co/mp3-preview/47aca114cd367609671d27ba494c0d90cc5abf48?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00237,0.52,0.852,0,5.79e-05,0.0733,-5.866,1,0.0543,0.234,140.267,4,nina
777,Bruno Mars,22,2K6vUau7bnZUamjbRSOOvJ,2021-11-12,65,https://i.scdn.co/image/ab67616d0000b273d0bbd3ea2ec554f17a6603cc,https://p.scdn.co/mp3-preview/94b8fa22c08d0d11fe4e3841bc0cba64b00ebb8a?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.00269,0.836,0.622,1,0.000566,0.335,-11.003,1,0.0946,0.892,102.015,4,nina
8TEEN,Khalid,10,5bgwqaRSS3M8WHWruHgSL5,2017-04-27,77,https://i.scdn.co/image/ab67616d0000b273988ede5e1276e758b5f9e577,https://p.scdn.co/mp3-preview/97d7c1904b2610b9b60942ab37a92bbd1aa7921f?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.225,0.83,0.585,1,0.00209,0.0576,-5.802,1,0.0366,0.642,105.03,4,nina
A Beautiful Mess,Jason Mraz,8,4HMVeqf1r9cH240Ann9sJ3,2008-05-12,48,https://i.scdn.co/image/ab67616d0000b2730f2e51f7121539e221c51161,https://p.scdn.co/mp3-preview/c0a26de29578777c0d1c51329bc260d0363c1e24?cid=8e910b9aa35e4098ac6dab1c9b9c03e0,0.286,0.494,0.231,4,0.0,0.215,-12.04,1,0.034,0.144,120.263,3,nina
